decision_id,term_id,concept_id,locale,source_concept_key,chosen_wording,sense_and_scope,source_locations,target_locations,authorities_actually_checked,authority_result,rationale,alternatives_considered,uncertainty,precise_review_question,provisional_open_to_correction,decision_record_origin,existing_registry_status
AC-TD-0001,AC-TERM-0001,r012:concept:applied-combinatorics,id-ID,applied-combinatorics,Kombinatorika Terapan,work title and field | register: formal textbook,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_inclusion-exclusion_discussion.ptx:L9,source/source/s_inclusion-exclusion_discussion.ptx:L9,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'work title and field' and register 'formal textbook', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: kombinatorika terapan,moderate; variants or rejected forms require expert preference review,"In work title and field, does 'Kombinatorika Terapan' accurately and naturally express applied combinatorics, or should 'kombinatorika terapan' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0002,AC-TERM-0002,r012:concept:combinatorics,id-ID,combinatorics,kombinatorika,whole work | register: formal mathematical,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_intro.ptx:L16 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_enum.ptx:L3,source/source/s_intro_intro.ptx:L16 | source/source/s_intro_enum.ptx:L3,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'whole work' and register 'formal mathematical', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In whole work, does 'kombinatorika' accurately and naturally express combinatorics, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0003,AC-TERM-0003,r012:concept:discrete-structures,id-ID,discrete-structures,struktur diskret,whole work | register: formal mathematical,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_intro.ptx:L6,source/source/s_intro_intro.ptx:L6,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'whole work' and register 'formal mathematical', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In whole work, does 'struktur diskret' accurately and naturally express discrete structures, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0004,AC-TERM-0004,r012:concept:enumeration,id-ID,enumeration,enumerasi,topic label and technical prose | register: formal mathematical,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_intro.ptx:L9,16 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_enum.ptx:L2 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_inclusion-exclusion_surjections.ptx (paired upstream module; English literal not reconstructed)","source/source/s_intro_intro.ptx:L9,16 | source/source/s_intro_enum.ptx:L2 | source/source/s_inclusion-exclusion_surjections.ptx:L2",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'topic label and technical prose' and register 'formal mathematical', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: pencacahan; rejected or scope-inappropriate forms: enumerasi used for the topic; pencacahan used for the act of counting,moderate; variants or rejected forms require expert preference review,"In topic label and technical prose, does 'enumerasi' accurately and naturally express enumeration, or should 'pencacahan' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0005,AC-TERM-0005,r012:concept:counting,id-ID,counting,pencacahan,act or method of counting | register: formal mathematical,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_enum.ptx:L3,source/source/s_intro_enum.ptx:L3,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'act or method of counting' and register 'formal mathematical', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: menghitung,moderate; variants or rejected forms require expert preference review,"In act or method of counting, does 'pencacahan' accurately and naturally express counting, or should 'menghitung' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0006,AC-TERM-0006,r012:concept:algorithms-optimization,id-ID,algorithms-optimization,algoritma dan optimisasi,theme heading | register: formal mathematical,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_intro.ptx (paired upstream module; English literal not reconstructed) | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/ch_networkflow.ptx (paired upstream module; English literal not reconstructed),source/source/s_intro_intro.ptx:L10 | source/source/ch_networkflow.ptx:L6,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'theme heading' and register 'formal mathematical', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: algoritma dan optimasi,moderate; variants or rejected forms require expert preference review,"In theme heading, does 'algoritma dan optimisasi' accurately and naturally express algorithms optimization, or should 'algoritma dan optimasi' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0007,AC-TERM-0007,r012:concept:graph,id-ID,graph,graf,graph theory | register: formal mathematical,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_intro.ptx:L7,11,16","source/source/s_intro_intro.ptx:L7,11,16",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'graph theory' and register 'formal mathematical', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",No alternative was recorded in the source registry.,moderate; no term-specific external Indonesian source is recorded,"In graph theory, does 'graf' accurately and naturally express graph, or should 'an expert-proposed alternative' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0008,AC-TERM-0008,r012:concept:digraph,id-ID,digraph,digraf,directed graph contexts | register: formal mathematical,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_intro.ptx:L7 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_graphalgorithms_digraphs.ptx:L1,2,3,6,8,9,10,13","source/source/s_intro_intro.ptx:L7 | source/source/s_graphalgorithms_digraphs.ptx:L2,3,6,9,10,13","Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; Rinaldi Munir, IF1220 Matematika Diskrit (2026, five PDF modules, 259 pages); Buhaerah, Matematika Diskrit (2019, 159 pages); qa/TERMINOLOGY_QA_INDONESIAN_FIELD_SOURCE_20260822.json. A bounded arXiv search found no suitable Indonesian combinatorics/graph-theory TeX source.",The checked field witnesses use 'graf berarah'; the edition consistently uses the technical loan formation 'digraf' and records 'graf berarah' as a variant.,"Retrospective basis: preserve the source concept in the scope 'directed graph contexts' and register 'formal mathematical', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: graf berarah; rejected or scope-inappropriate forms: digraph,"low-to-moderate; externally checked, but no human review is claimed",Whether 'digraf' should remain primary or yield to 'graf berarah' in general exposition.,yes,retrospective log row with contemporaneous 2026-08-22 field-source QA evidence,language_reviewed
AC-TD-0009,AC-TERM-0009,r012:concept:poset,id-ID,poset,poset,abbreviation after full definition | register: formal mathematical,upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_intro.ptx:L7,source/source/s_intro_intro.ptx:L7,Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'abbreviation after full definition' and register 'formal mathematical', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: himpunan terurut parsial,moderate; variants or rejected forms require expert preference review,"In abbreviation after full definition, does 'poset' accurately and naturally express poset, or should 'himpunan terurut parsial' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
AC-TD-0010,AC-TERM-0010,r012:concept:string,id-ID,string,string,computer-science and combinatorics register | register: technical loanword,"upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_intro_intro.ptx:L8 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_inclusion-exclusion_surjections.ptx:L19 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_genfunction_exponential.ptx:L29,38,39,40,45,48,75,77 (+12 more) | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_genfunction_exercises.ptx:L330,335,340,345 | upstream/applied-combinatorics-33b20df670d1f8d98266cd2f4a287a79b01649ea/source/s_genfunction_peer-instruction.ptx:L182,184,213,215","source/source/s_intro_intro.ptx:L8 | source/source/s_inclusion-exclusion_surjections.ptx:L19 | source/source/s_genfunction_exponential.ptx (registry-cited module; literal anchor not recovered) | source/source/s_genfunction_exercises.ptx (registry-cited module; literal anchor not recovered) | source/source/s_genfunction_peer-instruction.ptx:L182,213",Pinned English source at 33b20df670d1f8d98266cd2f4a287a79b01649ea; accepted edition registry and cited translated contexts. No term-specific external Indonesian authority is recorded for this entry.,"No term-specific result from an external Indonesian authority is claimed; acceptance rests on source meaning, scoped usage, and whole-edition consistency.","Retrospective basis: preserve the source concept in the scope 'computer-science and combinatorics register' and register 'technical loanword', keep the accepted wording consistent across the cited translation surfaces, and retain rather than erase documented variants.",accepted variants: untai,moderate; variants or rejected forms require expert preference review,"In computer-science and combinatorics register, does 'string' accurately and naturally express string, or should 'untai' be preferred? Please identify the mathematical sense and an Indonesian field authority if recommending a change.",yes,"retrospective reconstruction from the pre-existing glossary, cited target usage, scope, register, variants, and rejected forms; not a claim about contemporaneous translator motive",language_reviewed
